Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,322.0,8.0,57.0,1263.0,0.0,22.21300000000004,0.0,0.0,158.22199082374573,,,,,,,,,,,,,,,,,,,,,5.270409051228633,6.530765746125548,21.934521205285247,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,359.0,9.0,37.0,1300.0,0.0,20.30700000000002,0.0,0.0,161.0862157344818,,,,,,,,,,,,,,,,,,,,,6.023686078599905,6.6263656676669065,20.104227842934744,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,386.0,10.0,27.0,1327.0,0.0,12.106999999999994,0.0,0.0,163.29293251037598,,,,,,,,,,,,,,,,,,,,,3.158974613252207,3.85424578653737,12.033741426869062,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,441.0,11.0,55.0,1382.0,0.0,31.70700000000002,0.0,0.0,167.46138048171997,,,,,,,,,,,,,,,,,,,,,11.976681849104954,10.055733183800678,31.07936186015939,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,470.0,12.0,29.0,1411.0,0.0,14.105999999999995,0.0,0.0,169.78362774848938,,,,,,,,,,,,,,,,,,,,,3.9947629100663553,4.493406452756031,14.004156031639718,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,527.0,13.0,57.0,1468.0,0.0,22.205000000000002,0.0,0.0,174.2207272052765,,,,,,,,,,,,,,,,,,,,,8.448752627076626,5.586211199557922,21.745166266523153,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,548.0,14.0,21.0,1489.0,0.0,8.505999999999995,0.0,0.0,176.04000902175903,,,,,,,,,,,,,,,,,,,,,2.117659825808965,2.6919282045502984,8.469999142800814,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,599.0,15.0,51.0,1540.0,0.0,32.407999999999994,0.0,0.0,179.79778361320496,,,,,,,,,,,,,,,,,,,,,10.677388059062736,10.655085282324546,31.895348557545347,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,659.0,16.0,60.0,1600.0,0.0,33.310999999999986,0.0,0.0,184.25923371315002,,,,,,,,,,,,,,,,,,,,,10.164340830178816,10.48038947252353,32.733873423612884,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,683.0,17.0,24.0,1624.0,0.0,10.506999999999994,0.0,0.0,186.21890878677368,,,,,,,,,,,,,,,,,,,,,2.6836741297323754,3.368927813369837,10.453044865752176,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
